,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
1338,roberta-base,tweet_eval/offensive,roberta-base,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,296.9098310470581,0.7832326283987915,True,,TransferGraph,,,,,,
1339,finiteautomata/betonews-tweetcontext,tweet_eval/offensive,finiteautomata/betonews-tweetcontext,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,381.5217287540436,0.763595166163142,True,,TransferGraph,,,,,,
1340,bert-base-cased,tweet_eval/offensive,bert-base-cased,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,348.6890046596527,0.7764350453172205,True,,TransferGraph,,,,,,
1341,michiyasunaga/LinkBERT-base,tweet_eval/offensive,michiyasunaga/LinkBERT-base,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,341.79957485198975,0.7832326283987915,True,,TransferGraph,,,,,,
1342,albert-base-v2,tweet_eval/offensive,albert-base-v2,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,364.7310526371002,0.7764350453172205,True,,TransferGraph,,,,,,
1343,rmihaylov/roberta-base-sentiment-bg,tweet_eval/offensive,rmihaylov/roberta-base-sentiment-bg,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,214.9882137775421,0.7598187311178247,True,,TransferGraph,,,,,,
1344,juliensimon/autonlp-imdb-demo-hf-16622767,tweet_eval/offensive,juliensimon/autonlp-imdb-demo-hf-16622767,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,152.79657244682312,0.7885196374622356,True,,TransferGraph,,,,,,
1345,cardiffnlp/twitter-roberta-base-2021-124m,tweet_eval/offensive,cardiffnlp/twitter-roberta-base-2021-124m,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,335.3971254825592,0.7824773413897281,True,,TransferGraph,,,,,,
1346,connectivity/bert_ft_qqp-1,tweet_eval/offensive,connectivity/bert_ft_qqp-1,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,282.1286041736603,0.7726586102719033,True,,TransferGraph,,,,,,
1347,Nanatan/distilbert-base-uncased-finetuned-emotion,tweet_eval/offensive,Nanatan/distilbert-base-uncased-finetuned-emotion,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,173.99458360671997,0.7696374622356495,True,,TransferGraph,,,,,,
1348,Alassea/glue_sst_classifier,tweet_eval/offensive,Alassea/glue_sst_classifier,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,348.62405610084534,0.770392749244713,True,,TransferGraph,,,,,,
1349,Jeevesh8/bert_ft_cola-60,tweet_eval/offensive,Jeevesh8/bert_ft_cola-60,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,322.0224537849426,0.7741691842900302,True,,TransferGraph,,,,,,
1350,Jeevesh8/bert_ft_qqp-39,tweet_eval/offensive,Jeevesh8/bert_ft_qqp-39,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,322.07103180885315,0.7802114803625377,True,,TransferGraph,,,,,,
1351,Jeevesh8/lecun_feather_berts-8,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-8,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,285.5362391471863,0.7824773413897281,True,,TransferGraph,,,,,,
1352,navsad/navid_test_bert,tweet_eval/offensive,navsad/navid_test_bert,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,366.2087049484253,0.7734138972809668,True,,TransferGraph,,,,,,
1353,Jeevesh8/lecun_feather_berts-7,tweet_eval/offensive,Jeevesh8/lecun_feather_berts-7,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,325.26107478141785,0.7741691842900302,True,,TransferGraph,,,,,,
1354,connectivity/bert_ft_qqp-94,tweet_eval/offensive,connectivity/bert_ft_qqp-94,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,282.72897958755493,0.7824773413897281,True,,TransferGraph,,,,,,
1355,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,tweet_eval/offensive,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,327.78080010414124,0.7854984894259819,True,,TransferGraph,,,,,,
1356,w11wo/sundanese-bert-base-emotion-classifier,tweet_eval/offensive,w11wo/sundanese-bert-base-emotion-classifier,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,349.51395869255066,0.7522658610271903,True,,TransferGraph,,,,,,
1357,korca/bae-roberta-base-boolq,tweet_eval/offensive,korca/bae-roberta-base-boolq,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,337.3087174892425,0.7809667673716012,True,,TransferGraph,,,,,,
1358,bert-large-uncased,tweet_eval/offensive,bert-large-uncased,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,877.5000870227814,0.7900302114803626,True,,TransferGraph,,,,,,
1359,roberta-large,tweet_eval/offensive,roberta-large,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,899.1025750637054,0.7892749244712991,True,,TransferGraph,,,,,,
1360,IMSyPP/hate_speech_nl,tweet_eval/offensive,IMSyPP/hate_speech_nl,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,491.12479043006897,0.7250755287009063,True,,TransferGraph,,,,,,
1361,anferico/bert-for-patents,tweet_eval/offensive,anferico/bert-for-patents,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,873.4802196025848,0.7673716012084593,True,,TransferGraph,,,,,,
1362,matthewburke/korean_sentiment,tweet_eval/offensive,matthewburke/korean_sentiment,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,451.4998333454132,0.7507552870090635,True,,TransferGraph,,,,,,
1363,Jeevesh8/bert_ft_cola-88,tweet_eval/offensive,Jeevesh8/bert_ft_cola-88,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,340.43860149383545,0.7847432024169184,True,,TransferGraph,,,,,,
1364,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,tweet_eval/offensive,waboucay/camembert-base-finetuned-xnli_fr-finetuned-nli-rua_wl,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,336.5008199214936,0.7726586102719033,True,,TransferGraph,,,,,,
1365,aychang/bert-base-cased-trec-coarse,tweet_eval/offensive,aychang/bert-base-cased-trec-coarse,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,296.18647623062134,0.775679758308157,True,,TransferGraph,,,,,,
1366,aditeyabaral/finetuned-sail2017-xlm-roberta-base,tweet_eval/offensive,aditeyabaral/finetuned-sail2017-xlm-roberta-base,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,417.9105544090271,0.7832326283987915,True,,TransferGraph,,,,,,
1367,ishan/bert-base-uncased-mnli,tweet_eval/offensive,ishan/bert-base-uncased-mnli,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,327.8539848327637,0.7832326283987915,True,,TransferGraph,,,,,,
1368,mrm8488/codebert-base-finetuned-detect-insecure-code,tweet_eval/offensive,mrm8488/codebert-base-finetuned-detect-insecure-code,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,299.1327016353607,0.7802114803625377,True,,TransferGraph,,,,,,
1369,connectivity/bert_ft_qqp-96,tweet_eval/offensive,connectivity/bert_ft_qqp-96,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,334.5649778842926,0.775679758308157,True,,TransferGraph,,,,,,
1370,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,tweet_eval/offensive,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,353.78149938583374,0.7726586102719033,True,,TransferGraph,,,,,,
1371,XSY/albert-base-v2-imdb-calssification,tweet_eval/offensive,XSY/albert-base-v2-imdb-calssification,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,316.060950756073,0.7666163141993958,True,,TransferGraph,,,,,,
1372,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,tweet_eval/offensive,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,335.4792945384979,0.7900302114803626,True,,TransferGraph,,,,,,
1373,M47Labs/spanish_news_classification_headlines_untrained,tweet_eval/offensive,M47Labs/spanish_news_classification_headlines_untrained,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,380.7200937271118,0.7575528700906344,True,,TransferGraph,,,,,,
1374,cointegrated/roberta-base-formality,tweet_eval/offensive,cointegrated/roberta-base-formality,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,337.4907217025757,0.7900302114803626,True,,TransferGraph,,,,,,
1375,bondi/bert-semaphore-prediction-w4,tweet_eval/offensive,bondi/bert-semaphore-prediction-w4,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,384.0616018772125,0.7522658610271903,True,,TransferGraph,,,,,,
1376,boychaboy/MNLI_roberta-base,tweet_eval/offensive,boychaboy/MNLI_roberta-base,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,295.995924949646,0.7696374622356495,True,,TransferGraph,,,,,,
1377,fabriceyhc/bert-base-uncased-imdb,tweet_eval/offensive,fabriceyhc/bert-base-uncased-imdb,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,324.19921135902405,0.7696374622356495,True,,TransferGraph,,,,,,
1378,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,tweet_eval/offensive,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,552.5958411693573,0.729607250755287,True,,TransferGraph,,,,,,
1379,gchhablani/bert-base-cased-finetuned-rte,tweet_eval/offensive,gchhablani/bert-base-cased-finetuned-rte,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,294.65687251091003,0.777190332326284,True,,TransferGraph,,,,,,
1380,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,tweet_eval/offensive,JonatanGk/roberta-base-ca-finetuned-hate-speech-offensive-catalan,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,356.7193052768707,0.7605740181268882,True,,TransferGraph,,,,,,
1381,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,tweet_eval/offensive,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,296.9804768562317,0.7938066465256798,True,,TransferGraph,,,,,,
1382,emrecan/bert-base-multilingual-cased-snli_tr,tweet_eval/offensive,emrecan/bert-base-multilingual-cased-snli_tr,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,380.3553965091705,0.7726586102719033,True,,TransferGraph,,,,,,
1383,Raychanan/COVID_RandomOver,tweet_eval/offensive,Raychanan/COVID_RandomOver,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,383.7648656368256,0.6533232628398792,True,,TransferGraph,,,,,,
1384,anvay/finetuning-cardiffnlp-sentiment-model,tweet_eval/offensive,anvay/finetuning-cardiffnlp-sentiment-model,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,334.45971727371216,0.7779456193353474,True,,TransferGraph,,,,,,
1385,classla/bcms-bertic-parlasent-bcs-ter,tweet_eval/offensive,classla/bcms-bertic-parlasent-bcs-ter,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,461.7346031665802,0.777190332326284,True,,TransferGraph,,,,,,
1386,joebobby/finetuning-sentiment-model-5000-samples3,tweet_eval/offensive,joebobby/finetuning-sentiment-model-5000-samples3,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,290.6365303993225,0.7832326283987915,True,,TransferGraph,,,,,,
1387,elozano/tweet_offensive_eval,tweet_eval/offensive,elozano/tweet_offensive_eval,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,338.2909607887268,0.7832326283987915,True,,TransferGraph,,,,,,
1388,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,tweet_eval/offensive,YeRyeongLee/electra-base-discriminator-finetuned-filtered-0602,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,281.79055404663086,0.6661631419939577,True,,TransferGraph,,,,,,
1389,Jeevesh8/feather_berts_92,tweet_eval/offensive,Jeevesh8/feather_berts_92,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,345.2661731243133,0.7847432024169184,True,,TransferGraph,,,,,,
1390,Monsia/camembert-fr-covid-tweet-classification,tweet_eval/offensive,Monsia/camembert-fr-covid-tweet-classification,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,336.4512188434601,0.7779456193353474,True,,TransferGraph,,,,,,
1391,gchhablani/bert-base-cased-finetuned-wnli,tweet_eval/offensive,gchhablani/bert-base-cased-finetuned-wnli,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,294.0090730190277,0.783987915407855,True,,TransferGraph,,,,,,
1392,mrm8488/electricidad-base-finetuned-pawsx-es,tweet_eval/offensive,mrm8488/electricidad-base-finetuned-pawsx-es,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,381.8518266677856,0.7575528700906344,True,,TransferGraph,,,,,,
1393,manueltonneau/bert-twitter-en-is-hired,tweet_eval/offensive,manueltonneau/bert-twitter-en-is-hired,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,332.49252438545227,0.7824773413897281,True,,TransferGraph,,,,,,
1394,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,tweet_eval/offensive,CAMeL-Lab/bert-base-arabic-camelbert-mix-did-nadi,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,522.8840515613556,0.7212990936555891,True,,TransferGraph,,,,,,
1395,ChrisUPM/BioBERT_Re_trained,tweet_eval/offensive,ChrisUPM/BioBERT_Re_trained,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,289.84425830841064,0.7484894259818731,True,,TransferGraph,,,,,,
1396,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,tweet_eval/offensive,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,371.118736743927,0.7409365558912386,True,,TransferGraph,,,,,,
1397,kyleinincubated/autonlp-cat333-624217911,tweet_eval/offensive,kyleinincubated/autonlp-cat333-624217911,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,332.3837299346924,0.7651057401812689,True,,TransferGraph,,,,,,
1398,philschmid/tiny-distilbert-classification,tweet_eval/sentiment,philschmid/tiny-distilbert-classification,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,97.3797996044159,0.4345,True,,TransferGraph,,,,,,
1399,Guscode/DKbert-hatespeech-detection,tweet_eval/offensive,Guscode/DKbert-hatespeech-detection,offensive,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,390.07136702537537,0.7560422960725075,True,,TransferGraph,,,,,,
1400,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,tweet_eval/sentiment,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,443.7356724739074,0.724,True,,TransferGraph,,,,,,
1401,vaariis/distilbert-base-uncased-finetuned-emotion,tweet_eval/sentiment,vaariis/distilbert-base-uncased-finetuned-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,474.4706444740296,0.7275,True,,TransferGraph,,,,,,
1402,heranm/finetuning-sentiment-model-3000-samples,tweet_eval/sentiment,heranm/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,419.2109344005585,0.7345,True,,TransferGraph,,,,,,
1403,marcelcastrobr/sagemaker-distilbert-emotion,tweet_eval/sentiment,marcelcastrobr/sagemaker-distilbert-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,425.6032645702362,0.739,True,,TransferGraph,,,,,,
1404,jasonyim2/distilbert-base-uncased-finetuned-emotion,tweet_eval/sentiment,jasonyim2/distilbert-base-uncased-finetuned-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,444.0511431694031,0.719,True,,TransferGraph,,,,,,
1405,riyadhctg/distilbert-base-uncased-finetuned-cola,tweet_eval/sentiment,riyadhctg/distilbert-base-uncased-finetuned-cola,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,421.477688074112,0.7395,True,,TransferGraph,,,,,,
1406,nurkayevaa/autonlp-bert-covid-407910458,tweet_eval/sentiment,nurkayevaa/autonlp-bert-covid-407910458,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,443.4448540210724,0.727,True,,TransferGraph,,,,,,
1407,PrasunMishra/finetuning-sentiment-model-3000-samples,tweet_eval/sentiment,PrasunMishra/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,444.334459066391,0.7285,True,,TransferGraph,,,,,,
1408,dapang/distilroberta-base-mic-sym,tweet_eval/sentiment,dapang/distilroberta-base-mic-sym,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,449.19971799850464,0.7325,True,,TransferGraph,,,,,,
1409,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/sentiment,Jeevesh8/init_bert_ft_qqp-33,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,818.7076060771942,0.7405,True,,TransferGraph,,,,,,
1410,abdelkader/distilbert-base-uncased-finetuned-emotion,tweet_eval/sentiment,abdelkader/distilbert-base-uncased-finetuned-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,423.4795198440552,0.735,True,,TransferGraph,,,,,,
1411,SetFit/distilbert-base-uncased__sst2__train-16-0,tweet_eval/sentiment,SetFit/distilbert-base-uncased__sst2__train-16-0,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.8707187175751,0.731,True,,TransferGraph,,,,,,
1412,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,tweet_eval/sentiment,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,441.784615278244,0.729,True,,TransferGraph,,,,,,
1413,yukta10/finetuning-sentiment-model-3000-samples,tweet_eval/sentiment,yukta10/finetuning-sentiment-model-3000-samples,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,421.994975566864,0.725,True,,TransferGraph,,,,,,
1414,cambridgeltl/guardian_news_distilbert-base-uncased,tweet_eval/sentiment,cambridgeltl/guardian_news_distilbert-base-uncased,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,445.7419137954712,0.738,True,,TransferGraph,,,,,,
1415,gchhablani/fnet-base-finetuned-sst2,tweet_eval/sentiment,gchhablani/fnet-base-finetuned-sst2,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,710.778776884079,0.71,True,,TransferGraph,,,,,,
1416,Capreolus/bert-base-msmarco,tweet_eval/sentiment,Capreolus/bert-base-msmarco,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,747.7175996303558,0.7395,True,,TransferGraph,,,,,,
1417,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,tweet_eval/sentiment,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,761.2593696117401,0.7385,True,,TransferGraph,,,,,,
1418,crcb/isear_bert,tweet_eval/sentiment,crcb/isear_bert,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,818.4485998153687,0.7335,True,,TransferGraph,,,,,,
1419,connectivity/cola_6ep_ft-33,tweet_eval/sentiment,connectivity/cola_6ep_ft-33,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,757.7188878059387,0.729,True,,TransferGraph,,,,,,
1420,gchhablani/fnet-base-finetuned-cola,tweet_eval/sentiment,gchhablani/fnet-base-finetuned-cola,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,668.781200170517,0.713,True,,TransferGraph,,,,,,
1421,connectivity/cola_6ep_ft-22,tweet_eval/sentiment,connectivity/cola_6ep_ft-22,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,812.4280989170074,0.733,True,,TransferGraph,,,,,,
1422,Jeevesh8/feather_berts_46,tweet_eval/sentiment,Jeevesh8/feather_berts_46,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,815.1868922710419,0.7405,True,,TransferGraph,,,,,,
1423,Jeevesh8/init_bert_ft_qqp-49,tweet_eval/sentiment,Jeevesh8/init_bert_ft_qqp-49,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,757.4623639583588,0.7355,True,,TransferGraph,,,,,,
1424,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,tweet_eval/sentiment,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,862.6053681373596,0.6525,True,,TransferGraph,,,,,,
1425,ncduy/roberta-imdb-sentiment-analysis,tweet_eval/sentiment,ncduy/roberta-imdb-sentiment-analysis,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,811.7544975280762,0.734,True,,TransferGraph,,,,,,
1426,moshew/bert-mini-sst2-distilled,tweet_eval/sentiment,moshew/bert-mini-sst2-distilled,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,168.9859733581543,0.7095,True,,TransferGraph,,,,,,
1427,moghis/distilbert-base-uncased-finetuned-emotion,tweet_eval/sentiment,moghis/distilbert-base-uncased-finetuned-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,416.6812877655029,0.728,True,,TransferGraph,,,,,,
1428,nreimers/mmarco-mMiniLMv2-L6-H384-v1,tweet_eval/sentiment,nreimers/mmarco-mMiniLMv2-L6-H384-v1,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,401.3880381584168,0.7025,True,,TransferGraph,,,,,,
1429,phailyoor/distilbert-base-uncased-finetuned-yahd,tweet_eval/sentiment,phailyoor/distilbert-base-uncased-finetuned-yahd,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,440.9067072868347,0.721,True,,TransferGraph,,,,,,
1430,amyma21/sincere_question_classification,tweet_eval/sentiment,amyma21/sincere_question_classification,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,447.38059854507446,0.7275,True,,TransferGraph,,,,,,
1431,uygarkurt/distilbert-base-uncased-finetuned-emotion,tweet_eval/sentiment,uygarkurt/distilbert-base-uncased-finetuned-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,476.0542907714844,0.724,True,,TransferGraph,,,,,,
1432,neibla/distilbert-base-uncased-finetuned-emotion,tweet_eval/sentiment,neibla/distilbert-base-uncased-finetuned-emotion,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,443.2971961498261,0.725,True,,TransferGraph,,,,,,
1433,connectivity/bert_ft_qqp-7,tweet_eval/sentiment,connectivity/bert_ft_qqp-7,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,748.1998205184937,0.743,True,,TransferGraph,,,,,,
1434,vesteinn/XLMR-ENIS-finetuned-cola,tweet_eval/sentiment,vesteinn/XLMR-ENIS-finetuned-cola,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,894.7517766952515,0.735,True,,TransferGraph,,,,,,
1435,isakbos/Q8BERT_COLA_L_512,tweet_eval/sentiment,isakbos/Q8BERT_COLA_L_512,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,864.8949856758118,0.6925,True,,TransferGraph,,,,,,
1436,Anthos23/FS-distilroberta-fine-tuned,tweet_eval/sentiment,Anthos23/FS-distilroberta-fine-tuned,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,457.7149970531464,0.73,True,,TransferGraph,,,,,,
1437,arianpasquali/distilbert-base-multilingual-cased-toxicity,tweet_eval/sentiment,arianpasquali/distilbert-base-multilingual-cased-toxicity,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,614.2606782913208,0.7075,True,,TransferGraph,,,,,,
1438,pietrotrope/emotion_final,tweet_eval/sentiment,pietrotrope/emotion_final,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,416.5408055782318,0.723,True,,TransferGraph,,,,,,
1439,SetFit/distilbert-base-uncased__sst2__train-32-9,tweet_eval/sentiment,SetFit/distilbert-base-uncased__sst2__train-32-9,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,443.4559373855591,0.7295,True,,TransferGraph,,,,,,
1440,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,tweet_eval/sentiment,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,860.3683490753174,0.6995,True,,TransferGraph,,,,,,
1441,jaesun/distilbert-base-uncased-finetuned-cola,tweet_eval/sentiment,jaesun/distilbert-base-uncased-finetuned-cola,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,475.8565967082977,0.7225,True,,TransferGraph,,,,,,
1442,usami/distilbert-base-uncased-finetuned-cola,tweet_eval/sentiment,usami/distilbert-base-uncased-finetuned-cola,sentiment,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,417.3419759273529,0.7405,True,,TransferGraph,,,,,,
